mop_id,lat,lon,shore_normal,depth
D0149,32.6577,-117.1675,237.84,10.07
D0150,32.65828,-117.16789,236.5,10.0
D0151,32.65869,-117.16827,233.59,10.0
D0152,32.65955,-117.1684,232.47,10.01
D0153,32.66091,-117.16875,235.53,10.0
D0154,32.66129,-117.16934,232.9,10.0
D0155,32.6614,-117.16954,227.5,10.0
D0156,32.66144,-117.16961,221.77,10.0
D0157,32.66181,-117.17036,219.95,10.0
D0158,32.66293,-117.17136,223.47,10.0
D0159,32.66359,-117.17211,224.02,10.0
D0160,32.66434,-117.17306,225.51,10.0
D0161,32.665,-117.17371,225.06,10.01
D0162,32.66535,-117.17413,221.97,10.0
D0163,32.66603,-117.17516,223.47,10.0
D0164,32.66677,-117.17582,224.03,10.0
D0165,32.66732,-117.17667,223.99,9.99
D0166,32.66795,-117.17755,223.99,10.0
D0167,32.66838,-117.17811,221.99,10.0
D0168,32.66898,-117.17891,221.99,10.0
D0169,32.66932,-117.17988,221.5,10.0
D0170,32.67014,-117.18089,223.54,10.0
D0171,32.67053,-117.18182,223.51,10.01
D0172,32.67101,-117.18287,223.99,10.0
D0173,32.67148,-117.18382,223.53,10.0
D0174,32.67172,-117.18452,221.52,10.0
D0175,32.67268,-117.18633,227.02,10.0
D0176,32.67335,-117.18748,228.8,10.0
D0177,32.67361,-117.18781,226.01,10.0
D0178,32.6737,-117.18798,221.17,10.0
D0179,32.67395,-117.18846,218.97,10.0
D0180,32.67356,-117.19032,219.0,10.0
D0181,32.67358,-117.1912,217.42,10.0
D0182,32.67358,-117.1912,213.2,10.0
D0183,32.67358,-117.1912,208.26,10.0
D0184,32.67167,-117.19366,208.52,9.98
D0185,32.67143,-117.19467,207.46,10.0
D0186,32.67143,-117.19467,203.84,10.0
D0187,32.67131,-117.19493,200.99,10.0
D0188,32.67089,-117.19557,198.98,10.0
D0189,32.67,-117.1963,197.07,10.07
D0190,32.67,-117.1963,193.81,10.07
D0191,32.67,-117.1963,190.82,10.07
D0192,32.66875,-117.19797,191.51,10.0
D0193,32.66637,-117.20069,194.0,10.0
D0194,32.66417,-117.20184,192.81,9.98
D0195,32.66417,-117.20184,190.69,9.98
D0196,32.66417,-117.20184,188.36,9.98
D0197,32.66417,-117.20184,186.26,9.98
D0198,32.66417,-117.20184,184.0,9.98
D0199,32.66417,-117.20184,181.74,9.98
D0200,32.66417,-117.20184,179.67,9.98
D0201,32.66219,-117.2031,180.0,10.0
D0202,32.66098,-117.20365,179.0,10.0
D0203,32.66098,-117.20365,177.19,10.0
D0204,32.66098,-117.20365,175.19,10.0
D0205,32.66098,-117.20365,173.21,10.0
D0206,32.66098,-117.20365,171.39,10.0
D0207,32.66098,-117.20365,169.44,10.0
D0208,32.66098,-117.20365,167.64,10.0
D0209,32.66098,-117.20365,165.73,10.0
D0470,32.84706,-117.28466,307.74,10.01
D0471,32.84706,-117.28466,298.2,10.01
D0472,32.84706,-117.28466,288.16,10.01
D0473,32.84716,-117.28461,279.0,10.01
D0474,32.849,-117.28314,295.0,10.01
D0475,32.85074,-117.28047,327.03,10.0
D0476,32.8508,-117.27929,327.91,10.01
D0477,32.8508,-117.27895,315.58,10.02
D0478,32.8511,-117.27818,310.37,10.01
D0479,32.85167,-117.27721,311.53,10.79
D0480,32.85155,-117.27496,327.9,10.02
D0481,32.85173,-117.27367,353.67,10.0
D0482,32.85196,-117.27228,18.41,10.01
D0483,32.85239,-117.2711,17.83,10.02
D0484,32.8525,-117.27031,11.09,10.1
D0485,32.85296,-117.26805,28.52,10.02
D0486,32.85275,-117.26695,29.06,9.95
D0487,32.85275,-117.26695,15.64,9.95
D0488,32.85275,-117.26695,3.04,9.95
D0489,32.85275,-117.26695,350.46,9.95
D0490,32.85275,-117.26695,339.59,9.95
D0491,32.85275,-117.26695,327.17,9.95
D0492,32.85275,-117.26695,315.21,9.95
D0493,32.85263,-117.26555,314.07,10.06
D0494,32.85355,-117.26485,317.44,10.04
D0495,32.85409,-117.26365,321.91,10.02
D0496,32.85459,-117.26301,318.39,10.08
D0497,32.85494,-117.26282,307.39,10.12
D0498,32.8556,-117.2625,304.0,9.31
D0499,32.85648,-117.2625,300.48,9.69
D0500,32.85734,-117.26248,299.45,10.1
D0501,32.85821,-117.2625,297.48,10.0
D0502,32.85913,-117.26227,297.5,10.04
D0503,32.85993,-117.26167,297.99,9.61
D0504,32.86043,-117.2613,293.97,10.0
D0505,32.86093,-117.26124,288.0,10.01
D0506,32.86187,-117.26109,287.99,10.0
D0507,32.86259,-117.26105,286.06,10.0
D0508,32.86306,-117.26102,280.93,10.01
D0509,32.86372,-117.26099,278.01,10.01
D0510,32.86457,-117.26091,278.53,10.01
D0511,32.86588,-117.26069,282.99,10.01
D0512,32.86682,-117.26036,283.5,10.04
D0513,32.86741,-117.25968,280.99,10.0
D0514,32.86818,-117.25865,281.06,10.02
D0515,32.86894,-117.25761,281.03,9.97
D0516,32.86976,-117.2572,281.93,9.92
D0517,32.87054,-117.25677,280.5,9.99
D0518,32.87148,-117.25658,281.04,10.1
D0519,32.87284,-117.25565,296.07,10.07
D0520,32.87402,-117.25539,300.38,10.01
D0521,32.8743,-117.25552,289.4,10.09
D0522,32.87489,-117.25573,282.54,10.0
D0523,32.87579,-117.25639,280.47,10.21
D0524,32.8765,-117.25648,277.56,9.93
D0525,32.8768,-117.25659,270.0,10.0
D0526,32.87703,-117.25679,262.02,10.02
D0527,32.87763,-117.25723,258.98,10.05
D0528,32.87838,-117.25806,258.51,9.99
D0529,32.87941,-117.25881,261.52,10.01
D0530,32.88008,-117.25908,259.62,10.01
D0531,32.88077,-117.25925,257.51,9.99
D0532,32.88163,-117.25938,257.02,9.99
D0533,32.88214,-117.25946,253.01,10.0
D0534,32.88385,-117.2597,261.53,10.01
D0535,32.88535,-117.25984,267.54,10.0
D0536,32.88625,-117.25986,267.52,10.0
D0537,32.8874,-117.2599,270.0,10.01
D0538,32.88805,-117.25993,267.54,10.02
D0539,32.8884,-117.2599,262.02,10.02
D0540,32.88957,-117.25987,264.51,10.0
D0541,32.891,-117.25976,270.0,10.0
D0542,32.8919,-117.25989,270.0,10.01
D0543,32.8928,-117.26005,270.0,10.0
D0544,32.8937,-117.26013,270.0,10.01
D0545,32.8946,-117.26019,270.0,10.02
D0546,32.8955,-117.26034,270.0,10.0
D0547,32.8964,-117.26055,270.0,10.01
D0548,32.89719,-117.2607,268.99,10.01
D0549,32.89752,-117.26078,263.82,10.0
D0550,32.89828,-117.26088,262.46,10.0
D0551,32.89912,-117.26106,262.0,10.01
D0552,32.90001,-117.26133,261.99,10.01
D0553,32.90091,-117.26144,262.0,9.99
D0554,32.90154,-117.26159,259.55,10.01
D0555,32.90238,-117.26178,259.01,10.0
D0556,32.90291,-117.26211,256.03,10.0
D0557,32.90316,-117.2622,250.99,10.01
D0558,32.90383,-117.26237,248.51,10.0
D0559,32.9046,-117.2625,247.5,9.83
D0560,32.90602,-117.26315,253.48,10.01
DN130,41.66066,-124.14645,246.02,15.01
DN131,41.66129,-124.14697,239.62,15.01
DN132,41.66472,-124.14814,252.99,15.0
DN133,41.66772,-124.1475,261.61,15.0
DN134,41.66772,-124.1475,249.31,15.0
DN135,41.66772,-124.1475,236.33,15.0
DN136,41.67217,-124.14854,265.45,15.0
DN137,41.67761,-124.14989,298.01,15.0
DN138,41.67778,-124.14991,287.57,15.01
DN139,41.67778,-124.14991,275.79,15.01
DN140,41.67778,-124.14991,264.0,15.01
DN141,41.67778,-124.14991,252.62,15.01
DN142,41.67905,-124.14966,248.03,15.01
DN143,41.68108,-124.15026,251.46,15.0
DN144,41.68227,-124.15053,251.34,15.01
DN145,41.68227,-124.15053,239.21,15.01
DN146,41.68595,-124.15329,259.54,15.01
DN147,41.69044,-124.15392,280.24,15.01
DN148,41.69044,-124.15392,270.93,15.01
DN149,41.69175,-124.15422,271.0,15.01
DN150,41.69285,-124.15462,267.29,15.01
DN151,41.69315,-124.15474,259.52,15.01
DN152,41.69604,-124.15678,268.52,15.0
DN153,41.69958,-124.15972,279.67,15.0
DN154,41.69958,-124.15972,272.04,15.0
DN155,41.69958,-124.15972,264.21,15.0
